satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,left,salary,sales,employee_id
0.87,0.88,5,269,5,0,0,1,low,technical,41
0.45,0.48,2,158,3,0,0,1,low,technical,42
0.4,0.46,2,127,3,0,0,1,low,technical,43
0.1,0.8,7,281,4,0,0,1,low,technical,44
0.09,0.89,6,276,4,0,0,1,low,technical,45
0.84,0.74,3,182,4,0,0,1,low,technical,46
0.4,0.55,2,147,3,0,0,1,low,support,47
0.57,0.7,3,273,6,0,0,1,low,support,48
0.4,0.54,2,148,3,0,0,1,low,support,49
0.43,0.47,2,147,3,0,0,1,low,support,50
0.13,0.78,6,152,2,0,0,1,low,support,51
0.44,0.55,2,135,3,0,0,1,low,support,52
0.38,0.55,2,134,3,0,0,1,low,support,53
0.39,0.54,2,132,3,0,0,1,low,support,54
0.1,0.92,7,307,4,0,0,1,low,support,55
0.37,0.46,2,140,3,0,0,1,low,support,56
0.11,0.94,7,255,4,0,0,1,low,support,57
0.1,0.81,6,309,4,0,0,1,low,technical,58
0.38,0.54,2,128,3,0,0,1,low,technical,59
0.85,1,4,225,5,0,0,1,low,technical,60
0.85,0.91,5,226,5,0,0,1,medium,management,61
0.11,0.93,7,308,4,0,0,1,medium,IT,62
0.1,0.95,6,244,5,0,0,1,medium,IT,63
0.36,0.56,2,132,3,0,0,1,medium,IT,64
0.11,0.94,6,286,4,0,0,1,medium,IT,65
0.81,0.7,6,161,4,0,0,1,medium,IT,66
0.43,0.54,2,153,3,0,0,1,medium,product_mng,67
0.9,0.98,4,264,6,0,0,1,medium,product_mng,68
0.76,0.86,5,223,5,1,0,1,medium,product_mng,69
0.43,0.5,2,135,3,0,0,1,medium,product_mng,70
0.74,0.99,2,277,3,0,0,1,medium,IT,71
0.09,0.77,5,275,4,0,0,1,medium,product_mng,72
0.45,0.49,2,149,3,0,0,1,high,product_mng,73
0.09,0.87,7,295,4,0,0,1,low,product_mng,74
0.11,0.97,6,277,4,0,0,1,medium,product_mng,75
0.11,0.79,7,306,4,0,0,1,medium,product_mng,76
0.1,0.83,6,295,4,0,0,1,medium,product_mng,77
0.4,0.54,2,137,3,0,0,1,medium,marketing,78
0.43,0.56,2,157,3,0,0,1,low,sales,79
0.39,0.56,2,142,3,0,0,1,low,accounting,80
0.45,0.54,2,140,3,0,0,1,low,support,81
0.38,0.49,2,151,3,0,0,1,low,technical,82
0.79,0.59,4,139,3,0,1,1,low,management,83
0.84,0.85,4,249,6,0,0,1,low,marketing,84
0.11,0.77,6,291,4,0,0,1,low,marketing,85
0.11,0.87,6,305,4,0,0,1,low,marketing,86
0.17,0.84,5,232,3,0,0,1,low,sales,87
0.44,0.45,2,132,3,0,0,1,low,sales,88
0.37,0.57,2,130,3,0,0,1,low,sales,89
0.1,0.79,6,291,4,0,0,1,low,sales,90
0.4,0.5,2,130,3,0,0,1,low,sales,91
0.89,1,5,246,5,0,0,1,low,sales,92
0.42,0.48,2,143,3,0,0,1,low,sales,93
0.46,0.55,2,129,3,0,0,1,low,sales,94
0.09,0.83,6,255,4,0,0,1,low,sales,95
0.37,0.51,2,155,3,0,0,1,low,sales,96
0.1,0.77,6,265,4,0,0,1,low,sales,97
0.1,0.84,6,279,4,0,0,1,low,sales,98
0.11,0.97,6,284,4,0,0,1,low,sales,99
0.9,1,5,221,6,0,0,1,medium,sales,100
0.38,0.52,2,154,3,0,0,1,medium,sales,101
0.36,0.52,2,147,3,0,0,1,medium,sales,102
0.42,0.46,2,150,3,0,0,1,medium,sales,103
0.09,0.94,7,267,4,0,0,1,medium,sales,104
0.43,0.52,2,158,3,0,0,1,medium,sales,105
0.24,0.46,7,224,5,0,0,1,medium,accounting,106
0.91,1,4,257,5,0,0,1,medium,accounting,107
0.44,0.5,2,148,3,0,0,1,medium,accounting,108
0.71,0.87,3,177,4,0,0,1,medium,hr,109
0.4,0.49,2,155,3,0,0,1,medium,hr,110
0.43,0.47,2,144,3,0,0,1,medium,hr,111
0.09,0.85,6,289,4,0,0,1,high,hr,112
0.43,0.52,2,160,3,0,0,1,low,technical,113
0.9,0.96,4,258,5,0,0,1,medium,technical,114
0.84,1,5,234,5,0,0,1,medium,technical,115
0.37,0.48,2,137,3,0,0,1,medium,technical,116
0.86,0.68,5,263,2,0,0,1,medium,technical,117
0.11,0.84,6,251,4,0,0,1,low,technical,118
0.37,0.57,2,133,3,0,0,1,low,technical,119
0.4,0.46,2,132,3,0,0,1,low,technical,120
0.14,0.62,4,158,4,1,0,1,low,technical,121
0.4,0.46,2,135,3,0,0,1,low,technical,122
0.75,1,4,216,6,0,0,1,low,technical,123
0.11,0.84,6,300,5,1,0,1,low,support,124
0.46,0.49,2,138,3,0,0,1,low,support,125
0.11,0.92,6,260,4,0,0,1,low,support,126
0.38,0.49,2,132,3,0,0,1,low,support,127
0.7,0.89,3,183,5,0,0,1,low,support,128
0.09,0.82,6,250,4,0,0,1,low,support,129
0.37,0.45,2,151,3,0,0,1,low,support,130
0.1,0.83,6,292,4,0,0,1,low,support,131
0.38,0.57,2,140,3,0,0,1,low,support,132
0.9,1,5,221,5,0,0,1,low,support,133
0.44,0.51,2,138,3,0,0,1,low,support,134
0.36,0.5,2,132,3,0,0,1,low,technical,135
0.31,0.84,7,133,5,0,0,1,low,technical,136
0.1,0.84,6,283,4,1,0,1,low,technical,137
0.42,0.48,2,129,3,0,0,1,low,management,138
0.74,1,4,249,5,0,0,1,low,IT,139
0.73,0.87,5,257,5,0,0,1,low,IT,140
0.09,0.96,6,245,4,0,0,1,low,IT,141
0.45,0.53,2,155,3,0,0,1,low,IT,142
0.11,0.8,6,256,4,0,0,1,low,IT,143
0.37,0.47,2,152,3,0,0,1,low,product_mng,144
0.84,0.99,4,267,5,0,0,1,low,product_mng,145
0.41,0.46,2,151,3,0,0,1,low,product_mng,146
0.76,0.92,4,239,5,0,0,1,low,product_mng,147
0.11,0.87,6,306,4,0,0,1,low,IT,148
0.84,0.88,4,263,5,1,0,1,low,marketing,149
0.39,0.5,2,147,3,0,0,1,low,marketing,150
0.11,0.91,6,278,4,0,0,1,low,marketing,151
0.45,0.56,2,154,3,0,0,1,low,marketing,152
0.37,0.52,2,143,3,0,0,1,low,marketing,153
0.4,0.52,2,155,3,0,0,1,low,marketing,154
0.39,0.48,2,160,3,0,0,1,low,sales,155
0.11,0.8,6,304,4,0,0,1,low,accounting,156
0.83,1,5,240,5,0,0,1,low,support,157
0.11,0.92,6,305,4,0,0,1,low,technical,158
0.39,0.5,2,136,3,0,0,1,low,management,159
0.45,0.45,2,132,3,0,0,1,low,marketing,160
0.1,0.95,7,301,4,0,0,1,low,marketing,161
0.9,0.98,5,243,6,0,0,1,low,marketing,162
0.45,0.51,2,147,3,0,0,1,low,sales,163
0.79,0.89,5,239,5,0,0,1,low,sales,164
0.9,0.99,5,260,5,0,0,1,low,sales,165
0.11,0.84,7,296,4,0,0,1,low,sales,166
0.43,0.55,2,129,3,0,0,1,low,sales,167
0.31,0.54,5,132,5,0,0,1,low,sales,168
0.32,0.5,2,135,5,0,0,1,low,sales,169
0.45,0.57,2,158,3,0,0,1,low,sales,170
0.81,0.99,4,259,5,0,0,1,low,sales,171
0.41,0.46,2,160,3,0,1,1,low,sales,172
0.11,0.78,7,278,4,0,0,1,low,sales,173
0.1,0.88,6,284,4,0,0,1,low,sales,174
0.7,0.53,2,274,4,0,0,1,low,sales,175
0.54,0.74,4,164,2,0,0,1,low,sales,176
0.41,0.48,2,148,3,0,0,1,low,sales,177
0.38,0.5,2,140,3,0,0,1,medium,sales,178
0.37,0.51,2,127,3,0,0,1,medium,sales,179
0.11,0.85,6,308,5,0,0,1,medium,sales,180
0.4,0.47,2,146,3,0,0,1,medium,sales,181
0.1,0.84,6,261,4,0,0,1,medium,accounting,182
0.89,0.99,5,257,5,0,0,1,medium,accounting,183
0.11,0.8,6,285,4,0,0,1,medium,accounting,184
0.36,0.55,2,141,3,0,0,1,medium,hr,185
0.4,0.46,2,127,3,0,0,1,medium,hr,186
0.09,0.85,6,297,4,0,0,1,medium,hr,187
0.4,0.46,2,143,3,0,0,1,medium,hr,188
0.37,0.55,2,152,3,0,0,1,medium,technical,189
0.44,0.51,2,156,3,0,0,1,high,technical,190
0.09,0.8,7,283,5,0,0,1,low,technical,191
0.92,0.87,4,226,6,1,0,1,medium,technical,192
0.74,0.91,4,232,5,0,0,1,medium,technical,193
0.09,0.82,6,249,4,0,0,1,medium,technical,194
0.89,0.95,4,275,5,0,0,1,medium,technical,195
0.09,0.8,6,304,4,0,0,1,low,technical,196
0.27,0.54,7,278,3,0,0,1,low,technical,197
0.1,0.91,6,287,4,0,0,1,low,technical,198
0.1,0.89,7,285,4,0,0,1,low,technical,199
0.77,0.94,5,226,6,0,0,1,low,support,200
0.9,0.82,5,259,5,0,0,1,low,support,201
0.39,0.5,2,135,3,0,0,1,low,support,202
0.76,1,5,219,5,0,0,1,low,support,203
0.1,0.93,6,256,4,0,0,1,low,support,204
0.87,0.9,5,254,6,0,0,1,low,support,205
0.38,0.5,2,153,3,0,0,1,low,support,206
0.77,0.99,5,228,5,0,0,1,low,support,207
0.78,0.87,4,228,5,0,0,1,low,support,208
0.44,0.5,2,128,3,0,0,1,low,support,209
0.38,0.52,2,153,3,0,0,1,low,support,210
0.43,0.46,2,156,3,0,0,1,low,technical,211
0.39,0.5,4,294,3,0,0,1,low,technical,212
0.88,1,5,219,5,0,0,1,low,technical,213
0.45,0.46,2,153,3,0,0,1,low,management,214
0.4,0.53,2,151,3,0,0,1,low,IT,215
0.36,0.51,2,155,3,0,0,1,low,IT,216
0.36,0.48,2,158,3,0,0,1,low,IT,217
0.9,0.98,5,245,5,0,0,1,low,IT,218
0.43,0.53,2,131,3,0,0,1,low,IT,219
0.89,0.87,5,225,5,0,0,1,low,product_mng,220
0.1,0.84,6,286,4,0,0,1,low,product_mng,221
0.37,0.5,2,135,3,0,0,1,low,product_mng,222
0.37,0.51,2,153,3,0,0,1,low,product_mng,223
0.87,0.9,5,252,5,0,0,1,low,IT,224
0.4,0.56,2,149,3,0,0,1,low,accounting,225
0.9,0.97,4,258,5,0,0,1,low,accounting,226
0.37,0.46,2,158,3,0,0,1,low,hr,227
0.44,0.54,2,149,3,0,0,1,low,hr,228
0.85,0.95,5,236,5,0,0,1,low,hr,229
0.78,0.98,5,239,6,0,0,1,low,marketing,230
0.42,0.47,2,159,3,0,0,1,low,marketing,231
0.92,0.99,5,255,6,0,0,1,low,sales,232
0.11,0.83,6,244,4,0,0,1,low,accounting,233
0.42,0.56,2,134,3,0,0,1,low,support,234
0.48,0.57,4,270,4,0,0,1,low,technical,235
0.83,0.85,4,255,5,0,0,1,low,management,236
0.4,0.53,2,151,3,0,0,1,low,marketing,237
0.43,0.45,2,135,3,0,0,1,low,marketing,238
0.43,0.53,2,146,3,0,0,1,low,marketing,239
0.1,0.97,7,254,4,0,0,1,low,sales,240
0.1,0.87,7,289,4,0,0,1,low,sales,241
0.37,0.46,2,156,3,0,0,1,low,sales,242
0.38,0.53,2,156,3,0,0,1,low,sales,243
0.4,0.5,2,128,3,0,0,1,low,sales,244
0.89,0.86,5,275,5,0,0,1,low,sales,245
0.45,0.46,2,155,3,0,0,1,low,sales,246
0.37,0.48,2,159,3,0,0,1,low,sales,247
0.46,0.49,2,148,3,0,0,1,low,sales,248
0.87,0.91,4,228,5,0,0,1,low,sales,249
0.11,0.84,6,298,4,0,0,1,low,sales,250
0.79,0.87,5,261,5,0,0,1,low,sales,251
0.79,0.92,5,254,6,0,0,1,low,sales,252
0.19,0.59,7,192,3,0,0,1,low,sales,253
0.87,0.98,4,248,5,0,0,1,low,sales,254
0.6,0.92,2,258,5,0,0,1,low,sales,255
0.44,0.45,2,156,3,0,0,1,medium,sales,256
0.11,0.81,6,266,4,1,0,1,medium,sales,257
0.42,0.54,2,156,3,0,0,1,medium,sales,258
0.88,0.88,5,232,5,1,0,1,medium,accounting,259
0.11,0.84,6,287,4,0,0,1,medium,accounting,260
0.46,0.46,2,154,3,0,0,1,medium,accounting,261
0.82,0.97,5,263,5,0,0,1,medium,hr,262
0.44,0.56,2,131,3,0,0,1,medium,hr,263
0.11,0.78,6,260,4,0,0,1,medium,hr,264
0.42,0.5,2,139,3,0,0,1,medium,hr,265
0.84,0.93,4,251,5,0,0,1,medium,technical,266
0.11,0.95,6,286,4,0,0,1,medium,technical,267
0.45,0.53,2,129,3,0,0,1,high,technical,268
0.38,0.56,2,156,3,0,0,1,low,technical,269
0.38,0.86,6,139,6,0,0,1,medium,technical,270
0.44,0.51,2,127,3,0,0,1,medium,technical,271
0.11,0.84,6,251,4,0,0,1,medium,technical,272
0.81,0.93,5,270,5,0,0,1,medium,technical,273
0.09,0.96,6,296,4,0,0,1,low,technical,274
0.11,0.9,6,254,4,0,0,1,low,technical,275
0.81,0.95,5,238,6,0,0,1,low,technical,276
0.1,0.97,6,267,4,1,0,1,low,support,277
0.74,0.89,5,229,6,0,0,1,low,support,278
0.09,0.78,6,254,4,0,0,1,low,support,279
0.82,0.81,4,233,4,1,0,1,low,support,280
0.1,0.98,6,268,4,0,0,1,low,support,281
0.27,0.56,3,301,3,0,0,1,low,support,282
0.83,0.92,5,267,6,0,0,1,low,support,283
0.1,0.93,6,289,4,1,0,1,low,support,284
0.38,0.47,2,144,3,0,0,1,low,support,285
0.4,0.56,2,148,3,0,0,1,low,support,286
0.11,0.83,6,306,4,0,0,1,low,support,287
0.11,0.79,6,292,4,0,1,1,low,technical,288
0.82,0.91,5,232,5,0,0,1,low,technical,289
0.36,0.48,2,137,3,0,0,1,low,technical,290
0.4,0.46,2,128,3,0,0,1,low,management,291
0.87,0.84,5,231,5,0,0,1,low,IT,292
0.41,0.49,2,146,3,0,0,1,low,IT,293
0.11,0.91,6,308,4,1,0,1,low,IT,294
0.1,0.93,6,253,4,0,0,1,medium,IT,295
0.38,0.51,2,146,3,0,0,1,medium,IT,296
0.39,0.55,2,156,3,0,0,1,medium,product_mng,297
0.4,0.52,2,147,3,0,0,1,medium,product_mng,298
0.45,0.48,2,136,3,0,0,1,medium,product_mng,299
0.74,0.84,5,249,5,0,0,1,medium,product_mng,300
0.45,0.55,2,151,3,0,0,1,medium,IT,301
0.12,1,3,278,4,0,0,1,medium,RandD,302
0.1,0.77,7,250,5,0,0,1,medium,RandD,303
0.37,0.55,2,127,3,0,0,1,medium,RandD,304
0.89,0.87,5,255,5,0,0,1,medium,RandD,305
0.45,0.47,2,135,3,0,0,1,medium,RandD,306
0.37,0.46,2,149,3,0,0,1,high,marketing,307
0.11,0.81,5,287,4,0,0,1,low,sales,308
0.41,0.48,2,145,3,0,0,1,medium,accounting,309
0.1,0.94,6,285,4,0,0,1,medium,support,310
0.1,0.93,7,305,4,0,0,1,medium,technical,311
0.11,0.95,7,300,4,0,0,1,medium,management,312
0.4,0.54,2,139,3,0,0,1,low,marketing,313
0.41,0.49,2,130,3,0,0,1,low,marketing,314
0.1,0.81,6,268,4,0,0,1,low,marketing,315
0.73,0.86,4,245,6,0,0,1,low,sales,316
0.43,0.47,2,135,3,0,0,1,low,sales,317
0.37,0.46,2,153,3,0,0,1,low,sales,318
0.11,0.94,6,276,4,0,0,1,low,sales,319
0.4,0.46,2,130,3,0,0,1,low,sales,320
0.41,0.54,2,153,3,1,0,1,low,sales,321
0.82,0.84,5,244,5,0,0,1,low,sales,322
0.61,0.47,2,253,3,0,0,1,low,sales,323
0.11,0.91,7,287,4,0,0,1,low,sales,324
0.37,0.45,2,131,3,0,0,1,low,sales,325
0.41,0.52,2,135,3,0,0,1,low,sales,326
0.37,0.52,2,157,3,0,0,1,low,sales,327
0.88,0.99,5,262,6,0,0,1,low,sales,328
0.1,0.85,6,266,4,0,0,1,low,sales,329
0.44,0.48,2,148,3,0,0,1,low,sales,330
0.38,0.57,2,140,3,0,0,1,low,sales,331
0.11,0.85,7,302,4,0,0,1,low,sales,332
0.09,0.98,6,271,4,0,0,1,low,sales,333
0.45,0.52,2,145,3,0,0,1,medium,sales,334
0.1,0.81,6,290,4,0,0,1,medium,accounting,335
0.45,0.47,2,151,3,0,0,1,medium,accounting,336
0.77,0.87,5,266,5,0,0,1,medium,accounting,337
0.44,0.51,2,140,3,0,0,1,medium,hr,338
0.39,0.5,2,142,3,0,0,1,medium,hr,339
0.1,0.91,6,246,4,0,0,1,medium,hr,340
0.09,0.89,7,308,5,0,0,1,medium,hr,341
0.37,0.47,2,141,3,0,0,1,medium,technical,342
0.9,1,5,232,5,0,0,1,medium,technical,343
0.41,0.56,2,143,3,0,0,1,medium,technical,344
0.37,0.52,2,155,3,0,0,1,medium,technical,345
0.1,0.86,6,278,4,0,0,1,high,technical,346
0.81,1,4,253,5,0,0,1,low,technical,347
0.11,0.8,6,282,4,0,0,1,medium,technical,348
0.11,0.84,7,264,4,0,0,1,medium,technical,349
0.4,0.46,2,149,3,0,0,1,medium,technical,350
0.09,0.8,6,304,5,0,0,1,medium,technical,351
0.48,0.93,3,219,6,0,0,1,low,technical,352
0.91,0.91,4,262,6,0,0,1,low,support,353
0.43,0.57,2,135,3,0,0,1,low,support,354
0.33,0.88,6,219,5,0,0,1,low,support,355
0.41,0.57,2,136,3,0,0,1,low,support,356
0.41,0.55,2,154,3,0,0,1,low,support,357
0.37,0.54,2,149,3,0,0,1,low,support,358
0.31,0.62,6,135,5,0,0,1,low,support,359
0.09,0.91,6,275,4,0,0,1,low,support,360
0.1,0.87,6,290,4,0,0,1,low,support,361
0.76,0.9,4,263,5,0,0,1,low,support,362
0.41,0.54,2,145,3,0,0,1,low,support,363
0.72,0.96,5,267,5,0,0,1,low,technical,364
0.4,0.5,2,141,3,1,0,1,low,technical,365
0.91,0.87,4,235,5,0,0,1,low,technical,366
0.1,0.83,6,258,4,0,0,1,low,management,367
0.4,0.56,2,131,3,0,0,1,low,IT,368
0.82,0.86,5,243,5,0,0,1,low,IT,369
0.1,0.82,6,266,4,0,0,1,low,IT,370
0.37,0.45,2,142,3,0,0,1,low,IT,371
0.36,0.51,2,135,3,0,0,1,low,IT,372
0.39,0.48,2,141,3,0,0,1,medium,product_mng,373
0.36,0.57,2,142,3,0,0,1,medium,product_mng,374
0.86,0.84,5,254,5,0,0,1,medium,product_mng,375
0.73,0.99,5,262,5,0,0,1,medium,product_mng,376
0.56,0.71,4,296,2,0,0,1,medium,IT,377
0.44,0.56,2,158,3,0,0,1,medium,accounting,378
0.31,0.56,4,238,2,0,0,1,medium,accounting,379
0.77,0.93,4,231,5,0,0,1,medium,hr,380
0.44,0.45,2,156,3,0,0,1,medium,hr,381
0.38,0.46,2,145,3,0,0,1,medium,hr,382
0.45,0.48,2,144,3,0,0,1,medium,marketing,383
0.38,0.51,2,159,3,0,0,1,medium,sales,384
0.36,0.48,2,156,3,0,0,1,high,accounting,385
0.75,0.9,5,256,5,0,0,1,low,support,386
0.1,0.93,6,298,4,0,0,1,medium,technical,387
0.1,0.97,6,247,4,0,0,1,medium,management,388
0.45,0.5,2,157,3,0,0,1,medium,marketing,389
0.42,0.57,2,154,3,1,0,1,medium,marketing,390
0.78,1,4,253,5,0,0,1,low,marketing,391
0.45,0.55,2,148,3,0,0,1,low,sales,392
0.84,1,4,261,5,0,0,1,low,sales,393
0.11,0.93,6,282,4,0,0,1,low,sales,394
0.42,0.56,2,133,3,0,0,1,low,sales,395
0.45,0.46,2,128,3,0,0,1,low,sales,396
0.46,0.57,2,139,3,0,0,1,low,sales,397
0.09,0.79,6,293,5,0,0,1,low,sales,398
0.87,0.83,4,265,6,0,0,1,low,sales,399
0.1,0.87,6,250,4,0,0,1,low,sales,400
0.91,1,5,251,6,0,0,1,low,sales,401
0.76,0.92,4,246,5,0,0,1,low,sales,402
0.74,1,5,275,5,0,0,1,low,sales,403
0.92,0.93,5,240,5,0,0,1,low,sales,404
0.76,0.87,5,245,5,0,0,1,low,sales,405
0.47,0.5,4,254,4,0,0,1,low,sales,406
0.73,0.99,5,241,5,0,0,1,low,sales,407
0.09,0.94,6,257,4,0,0,1,low,sales,408
0.91,0.92,4,246,5,0,0,1,low,sales,409
0.82,0.98,4,233,5,0,0,1,low,sales,410
0.28,0.45,6,218,4,0,0,1,low,accounting,411
0.84,0.99,4,262,6,0,0,1,medium,accounting,412
0.45,0.53,2,138,3,0,0,1,medium,accounting,413
0.45,0.54,2,142,3,0,0,1,medium,hr,414
0.91,0.97,5,233,5,0,0,1,medium,hr,415
0.42,0.48,2,155,3,0,0,1,medium,hr,416
0.82,1,4,229,6,0,0,1,medium,hr,417
0.11,0.9,6,264,4,0,0,1,medium,technical,418
0.42,0.53,3,199,4,0,0,1,medium,technical,419
0.82,0.85,4,223,5,0,0,1,medium,technical,420
0.09,0.96,6,268,4,0,0,1,medium,technical,421
0.1,0.94,6,287,4,0,0,1,medium,technical,422
0.86,1,5,257,5,0,0,1,medium,technical,423
0.4,0.46,2,143,3,0,0,1,high,technical,424
0.45,0.46,2,130,3,0,0,1,low,technical,425
0.42,0.51,2,136,3,0,0,1,medium,technical,426
0.74,0.92,4,261,5,0,0,1,medium,technical,427
0.55,0.6,3,180,4,0,0,1,medium,technical,428
0.37,0.45,2,126,3,0,0,1,medium,support,429
0.41,0.52,2,127,3,1,0,1,low,support,430
0.89,0.65,5,195,6,0,0,1,low,support,431
0.41,0.57,2,160,3,0,0,1,low,support,432
0.44,0.51,2,150,3,0,0,1,low,support,433
0.87,0.84,4,264,6,0,0,1,low,support,434
0.1,0.84,6,309,4,0,0,1,low,support,435
0.41,0.47,2,135,3,0,0,1,low,support,436
0.11,0.85,6,261,4,0,0,1,low,support,437
0.43,0.53,2,160,3,0,0,1,low,support,438
0.77,0.9,4,237,5,0,0,1,low,support,439
0.41,0.52,2,136,3,0,0,1,low,technical,440
0.41,0.48,2,139,3,0,0,1,low,technical,441
0.36,0.78,2,151,4,0,0,1,low,technical,442
0.77,1,5,229,5,0,0,1,low,management,443
0.81,0.98,5,245,5,0,0,1,low,IT,444
0.39,0.54,2,127,3,0,0,1,low,IT,445
0.09,0.94,6,283,5,0,0,1,low,IT,446
0.44,0.46,2,143,3,0,0,1,low,IT,447
0.1,0.84,5,298,4,0,0,1,low,IT,448
0.36,0.48,2,159,3,0,0,1,low,product_mng,449
0.81,0.92,5,239,5,0,0,1,low,product_mng,450
0.81,0.9,4,226,5,0,0,1,medium,product_mng,451
0.85,0.98,5,248,5,0,0,1,medium,product_mng,452
0.1,0.87,6,286,4,0,0,1,medium,IT,453
0.37,0.54,2,145,3,0,0,1,medium,RandD,454
0.09,0.97,7,254,4,1,0,1,medium,RandD,455
0.44,0.53,2,127,3,0,0,1,medium,RandD,456
0.86,0.93,5,223,5,0,0,1,medium,RandD,457
0.77,1,4,255,5,0,0,1,medium,RandD,458
0.41,0.48,2,136,3,0,0,1,medium,marketing,459
0.4,0.48,2,137,3,0,0,1,medium,sales,460
0.43,0.49,2,135,3,0,0,1,medium,accounting,461
0.43,0.5,2,137,3,0,0,1,medium,support,462
0.8,0.53,3,255,5,0,0,1,high,technical,463
0.8,0.85,4,273,5,0,0,1,low,management,464
0.82,0.98,5,234,5,0,0,1,medium,marketing,465
0.37,0.54,2,152,3,0,0,1,medium,marketing,466
0.37,0.48,2,134,3,0,0,1,medium,marketing,467
0.09,0.95,6,292,4,0,0,1,medium,sales,468
0.9,0.92,5,245,5,0,0,1,low,sales,469
0.41,0.52,2,159,3,0,0,1,low,sales,470
0.1,0.85,6,260,4,0,0,1,low,sales,471
0.44,0.53,2,149,3,0,0,1,low,sales,472
0.89,0.85,5,266,5,0,0,1,low,sales,473
0.42,0.56,2,149,3,0,0,1,low,sales,474
0.87,1,5,242,5,0,0,1,low,sales,475
0.45,0.57,2,134,3,0,0,1,low,sales,476
0.11,0.87,5,271,4,0,0,1,low,sales,477
0.09,0.79,6,275,4,0,0,1,low,sales,478
0.76,0.83,5,227,5,0,0,1,low,sales,479
0.11,0.96,7,277,5,0,0,1,low,sales,480
0.37,0.49,2,151,3,0,0,1,low,sales,481
0.1,0.79,6,274,4,0,0,1,low,sales,482
0.77,0.87,4,242,6,0,0,1,low,sales,483
0.42,0.54,2,143,3,1,0,1,low,sales,484
0.38,0.52,2,145,3,0,0,1,low,sales,485
0.32,0.95,5,172,2,0,0,1,low,sales,486
0.38,0.49,2,135,3,0,0,1,low,accounting,487
0.19,1,4,192,4,0,0,1,low,accounting,488
0.1,0.83,7,276,4,0,0,1,low,accounting,489
0.76,0.88,4,206,4,0,0,1,medium,hr,490
0.53,0.56,4,281,6,0,0,1,medium,hr,491
0.39,0.51,2,151,3,0,0,1,medium,hr,492
0.11,0.83,6,244,4,0,0,1,medium,hr,493
0.1,0.94,6,309,4,0,0,1,medium,technical,494
0.84,1,5,218,5,0,0,1,medium,technical,495
0.82,0.99,4,263,6,0,0,1,medium,technical,496
0.1,0.82,6,244,4,0,0,1,medium,technical,497
0.59,0.49,7,263,4,0,0,1,medium,technical,498
0.44,0.48,2,143,3,0,0,1,medium,technical,499
0.89,0.95,2,181,5,0,0,1,medium,technical,500
0.91,0.84,5,265,5,0,0,1,medium,technical,501
0.66,0.57,5,161,5,0,0,1,high,technical,502
0.11,0.87,7,282,5,0,0,1,low,technical,503
0.43,0.51,2,155,3,0,0,1,medium,technical,504
0.78,0.83,4,217,6,0,0,1,medium,support,505
0.11,0.97,6,289,5,0,0,1,medium,support,506
0.83,0.98,4,259,5,0,0,1,medium,support,507
0.39,0.54,2,158,3,0,0,1,low,support,508
